[2025-08-31 12:56:23] [INFO    ] discord.client: logging in using static token
[2025-08-31 12:56:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-31 12:56:23] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-31 12:56:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1411384061993156658', 'username': 'AI Chat', 'avatar': None, 'discriminator': '5884', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-31 12:56:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-31 12:56:24] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-31 12:56:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1411384061993156658', 'name': 'AI Chat', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1411384061993156658', 'username': 'AI Chat', 'avatar': None, 'discriminator': '5884', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f36d6027fd0020ba7b4bcaad8c6ca9e73dd22ed650f920d041f4cc2b66da9ebe', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '610380548841668612', 'username': 'atula8322', 'avatar': 'a_6d82a578cef1b525add43ad59f43d309', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_f974812a10245021b3d8137e35c509a1', 'accent_color': 2573233, 'global_name': 'Atula', 'avatar_decoration_data': {'asset': 'a_5bda831ef9d78db54429b06e2ea268fa', 'sku_id': '1390436532988674091', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#2743b1', 'clan': {'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'tag': 'LOZ', 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'primary_guild': {'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'tag': 'LOZ', 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-08-31 12:56:24] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-31 12:56:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-ww8t",{"micros":0.0}]']}}
[2025-08-31 12:56:24] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-31 12:56:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
